# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/323K/4DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/323K/fixed_4DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/323K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DAPC-DAPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
24	11 0.13166666666666665	0.20833333333333334 0.49	0.5333333333333333 0.51	0.4666666666666667 3.2916666666666665	6.818181818181818 2.936539441057942	5.653931565624077 12.25	17.454545454545453 6.995534289816611	10.102777623133122 0.449358696893049	0.5028758280282564
2	2 0.6516666666666666	0.7611111111111111 0.945	0.9694444444444444 0.055	0.030555555555555555 195.5	137.0 1.5	0.0 283.5	174.5 2.5	1.5 2	2
2	2 0.6866666666666666	0.7666666666666667 0.97	0.9722222222222222 0.03	0.027777777777777776 206.0	138.0 1.0	5.0 291.0	175.0 4.0	3.0 2	2
2	2 0.6816666666666666	0.7583333333333333 0.9616666666666667	0.9722222222222222 0.03833333333333333	0.027777777777777776 204.5	136.5 2.5	7.5 288.5	175.0 0.5	1.0 2	2
2	2 0.67	0.7666666666666667 0.9533333333333334	0.9833333333333333 0.04666666666666667	0.016666666666666666 201.0	138.0 4.0	1.0 286.0	177.0 1.0	0.0 2	2
2	2 0.5916666666666667	0.7555555555555555 0.9416666666666667	0.9611111111111111 0.058333333333333334	0.03888888888888889 177.5	136.0 2.5	1.0 282.5	173.0 1.5	1.0 2	2
2	2 0.6966666666666667	0.7527777777777778 0.9433333333333334	0.9722222222222222 0.056666666666666664	0.027777777777777776 209.0	135.5 3.0	2.5 283.0	175.0 4.0	1.0 2	2
3	2 0.675	0.7611111111111111 0.9483333333333334	0.9694444444444444 0.051666666666666666	0.030555555555555555 135.0	137.0 94.0886107170611	2.0 189.66666666666666	174.5 128.64507590870144	2.5 0.17969999264456668	2
2	2 0.5916666666666667	0.7416666666666667 0.94	0.9416666666666667 0.06	0.058333333333333334 177.5	133.5 3.5	1.5 282.0	169.5 5.0	0.5 2	2
2	2 0.6183333333333333	0.7666666666666667 0.9216666666666666	0.9527777777777777 0.07833333333333334	0.04722222222222222 185.5	138.0 4.5	3.0 276.5	171.5 3.5	1.5 2	2
3	2 0.6583333333333333	0.7472222222222222 0.9316666666666666	0.9638888888888889 0.06833333333333333	0.03611111111111111 131.66666666666666	134.5 89.58174417195106	0.5 186.33333333333334	173.5 121.32692290758149	1.5 0.1373598395445726	2
2	2 0.6916666666666667	0.775 0.965	0.9833333333333333 0.035	0.016666666666666666 207.5	139.5 2.5	1.5 289.5	177.0 0.5	1.0 2	2
2	2 0.6466666666666666	0.7555555555555555 0.9566666666666667	0.9833333333333333 0.043333333333333335	0.016666666666666666 194.0	136.0 2.0	8.0 287.0	177.0 1.0	3.0 2	2
2	2 0.6616666666666666	0.7444444444444445 0.9766666666666667	0.9666666666666667 0.023333333333333334	0.03333333333333333 198.5	134.0 1.5	2.0 293.0	174.0 1.0	2.0 2	2
2	2 0.6616666666666666	0.7694444444444445 0.9616666666666667	0.9833333333333333 0.03833333333333333	0.016666666666666666 198.5	138.5 0.5	1.5 288.5	177.0 1.5	0.0 2	2
2	2 0.6866666666666666	0.7361111111111112 0.945	0.975 0.055	0.025 206.0	132.5 3.0	1.5 283.5	175.5 1.5	3.5 2	2
2	2 0.695	0.8 0.9533333333333334	0.975 0.04666666666666667	0.025 208.5	144.0 7.5	0.0 286.0	175.5 5.0	2.5 2	2
