# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/2/450K/2DIPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/2/450K/fixed_2DIPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/450K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DIPC-DIPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
29	2 0.13043478260869565	0.007407407407407408 0.43478260869565216	0.03148148148148148 0.5652173913043478	0.9685185185185186 3.7241379310344827	2.0 3.341448702172591	1.0 12.413793103448276	8.5 6.321922674473439	1.5 0.4591234825982136	2
26	3 0.13285024154589373	0.012962962962962963 0.4311594202898551	0.053703703703703705 0.5688405797101449	0.9462962962962963 4.230769230769231	1.75 3.724221057510832	1.479019945774904 13.73076923076923	7.25 7.6588696309356665	4.968651728587948 0.4523594676047124	-2
31	0 0.11835748792270531	0.0 0.4227053140096618	0.0 0.5772946859903382	1.0 3.161290322580645	0.0 3.351425062263942	0.0 11.290322580645162	0.0 6.294870151045403	0.0 0.45548851330632456	-2
32	1 0.14855072463768115	0.001851851851851852 0.46980676328502413	0.012962962962962963 0.5301932367149759	0.987037037037037 3.84375	0.5 3.709020886635717	0.5 12.15625	3.5 6.305302208260917	3.5 0.4379891133833903	-2
30	4 0.13043478260869565	0.009259259259259259 0.4335748792270531	0.05925925925925926 0.5664251207729468	0.9407407407407408 3.6	1.25 2.961981318869742	0.4330127018922193 11.966666666666667	8.0 5.753163381035592	1.7320508075688772 0.47054998580524876	0.8022010109359191
27	2 0.12439613526570048	0.005555555555555556 0.4311594202898551	0.027777777777777776 0.5688405797101449	0.9722222222222222 3.814814814814815	1.5 3.0189161292318265	0.5 13.222222222222221	7.5 6.136311676215145	0.5 0.45907514172901187	2
24	4 0.1316425120772947	0.011111111111111112 0.3961352657004831	0.06296296296296296 0.6038647342995169	0.937037037037037 4.541666666666667	1.5 3.9155583538267207	0.5 13.666666666666666	8.5 6.6687496745808525	1.5 0.46887783917830916	0.7517560697436275
28	2 0.12198067632850242	0.003703703703703704 0.4166666666666667	0.025925925925925925 0.5833333333333334	0.9740740740740741 3.607142857142857	0.6666666666666666 3.298693309633438	0.4714045207910317 12.321428571428571	4.666666666666667 5.855727180831305	3.299831645537222 0.5161674809009722	-2
23	1 0.1316425120772947	0.001851851851851852 0.41183574879227053	0.012962962962962963 0.5881642512077294	0.987037037037037 4.739130434782608	0.5 4.72014545929464	0.5 14.826086956521738	3.5 9.56284555573671	3.5 0.4567717751379659	-2
28	5 0.14371980676328502	0.016666666666666666 0.44323671497584544	0.08888888888888889 0.5567632850241546	0.9111111111111111 4.25	1.8 4.437059837324712	0.7483314773547883 13.107142857142858	9.6 7.99258265837898	2.5768197453450252 0.487711169183085	0.8020539029722648
32	6 0.11594202898550725	0.012962962962962963 0.43478260869565216	0.08518518518518518 0.5652173913043478	0.9148148148148149 3.0	1.1666666666666667 2.091650066335189	0.3726779962499649 11.25	7.666666666666667 4.315669125408017	1.4907119849998596 0.49812281844653583	0.8245747803061686
35	3 0.11714975845410629	0.005555555555555556 0.4420289855072464	0.03888888888888889 0.5579710144927537	0.9611111111111111 2.7714285714285714	1.0 2.1392350339811297	0.0 10.457142857142857	7.0 4.183934287539538	0.0 0.49810689590310325	0.6593888765706801
28	3 0.1111111111111111	0.009259259259259259 0.4082125603864734	0.046296296296296294 0.5917874396135265	0.9537037037037037 3.2857142857142856	1.6666666666666667 2.358224859888454	0.9428090415820634 12.071428571428571	8.333333333333334 5.250364418839157	1.8856180831641267 0.5386552718008617	0.8875707830496984
31	2 0.1111111111111111	0.003703703703703704 0.39009661835748793	0.027777777777777776 0.6099033816425121	0.9722222222222222 2.967741935483871	0.6666666666666666 2.7880374756557287	0.4714045207910317 10.419354838709678	5.0 5.001768677812635	3.559026084010437 0.4871111559145789	-2
27	6 0.10144927536231885	0.012962962962962963 0.37681159420289856	0.08333333333333333 0.6231884057971014	0.9166666666666666 3.111111111111111	1.1666666666666667 2.362254625052145	0.3726779962499649 11.555555555555555	7.5 4.916588197741686	1.118033988749895 0.47987645548211705	0.5998981776865312
27	1 0.1111111111111111	0.001851851851851852 0.3888888888888889	0.012962962962962963 0.6111111111111112	0.987037037037037 3.4074074074074074	0.5 4.548172276447037	0.5 11.925925925925926	3.5 9.148672949409317	3.5 0.46311629186260095	-2
32	4 0.10386473429951691	0.009259259259259259 0.39492753623188404	0.053703703703703705 0.605072463768116	0.9462962962962963 2.6875	1.0 2.2560682059725057	0.6324555320336759 10.21875	5.8 4.45627629725761	2.925747767665559 0.5322025363447508	-2
31	6 0.13526570048309178	0.011111111111111112 0.46980676328502413	0.07777777777777778 0.5301932367149759	0.9222222222222223 3.6129032258064515	1.0 3.5530760807779003	0.0 12.548387096774194	7.0 9.069049492028688	0.0 0.3640254591718626	0.8031668647597213
29	6 0.11714975845410629	0.011111111111111112 0.4142512077294686	0.07777777777777778 0.5857487922705314	0.9222222222222223 3.3448275862068964	1.0 2.8073286120065686	0.0 11.827586206896552	7.0 5.80171773325465	0.0 0.46867955503594844	0.7907008885450992
28	4 0.12560386473429952	0.007407407407407408 0.4359903381642512	0.05185185185185185 0.5640096618357487	0.9481481481481482 3.7142857142857144	1.0 3.5842626543698217	0.0 12.892857142857142	7.0 7.281774144662656	0.0 0.4895625112441795	0.8301135603622347
32	3 0.1570048309178744	0.014814814814814815 0.4758454106280193	0.05925925925925926 0.5241545893719807	0.9407407407407408 4.0625	2.6666666666666665 3.4181272284688293	1.247219128924647 12.3125	10.666666666666666 6.120853188077623	2.8674417556808756 0.4590552240815501	0.614150852405034
27	4 0.12077294685990338	0.007407407407407408 0.3997584541062802	0.05185185185185185 0.6002415458937198	0.9481481481481482 3.7037037037037037	1.0 3.95169738321456	0.0 12.25925925925926	7.0 8.00736971930693	0.0 0.4644405415654649	0.8477041757990604
31	3 0.12560386473429952	0.011111111111111112 0.44806763285024154	0.053703703703703705 0.5519323671497585	0.9462962962962963 3.3548387096774195	1.5 3.515389090535555	1.118033988749895 11.96774193548387	7.25 7.494014260718639	4.548351349665063 0.44705396489631744	-2
30	5 0.11594202898550725	0.014814814814814815 0.41545893719806765	0.08148148148148149 0.5845410628019324	0.9185185185185185 3.2	1.6 2.7006172134038793	0.4898979485566356 11.466666666666667	8.8 5.4511976258025685	1.32664991614216 0.5281737473578032	0.7475320307343489
29	2 0.10265700483091787	0.003703703703703704 0.3671497584541063	0.025925925925925925 0.6328502415458938	0.9740740740740741 2.9310344827586206	1.0 1.910606231337251	0.0 10.482758620689655	7.0 3.389849855846761	0.0 0.5408219201050655	2
28	2 0.10628019323671498	0.005555555555555556 0.3828502415458937	0.03148148148148148 0.6171497584541062	0.9685185185185186 3.142857142857143	1.0 3.907084094622098	0.816496580927726 11.321428571428571	5.666666666666667 7.2901772045314095	4.189935029992179 0.4990617740007061	-2
32	5 0.11956521739130435	0.020370370370370372 0.44565217391304346	0.08148148148148149 0.5543478260869565	0.9185185185185185 3.09375	2.2 2.323243624224545	1.16619037896906 11.53125	8.8 5.006148563266975	1.32664991614216 0.49494196768590776	0.5369419757410867
34	3 0.10386473429951691	0.009259259259259259 0.43478260869565216	0.05 0.5652173913043478	0.95 2.5294117647058822	1.25 2.131490697881581	1.0897247358851685 10.588235294117647	6.75 4.505667327076394	4.602988159880492 0.4997345389987542	-2
27	1 0.11352657004830918	0.001851851851851852 0.40217391304347827	0.012962962962962963 0.5978260869565217	0.987037037037037 3.4814814814814814	0.5 3.0595372486019823	0.5 12.333333333333334	3.5 6.306962642808166	3.5 0.5056042768718982	-2
